Woreda,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Dulecha,3.869060442,4.962511655,0.666227645,3.899304409,1.562477559,9.330842411
Wondo-Genet,3.045916254,2.194055329,0.415870029,1.382279298,4.98542826,9.413623812
Boloso sore,3.020480567,2.532012575,0.456067374,1.572773923,4.986000878,9.579255368
Argoba Special,3.794392851,4.772281542,0.653154776,3.960041254,1.238713541,8.993147646
Tsegede,2.396080312,2.869804802,0.48633201,2.56163276,2.719615412,7.677328483
Dera,2.740047131,3.480396752,0.604353383,2.511225382,4.033845679,9.285118192
Fogera,3.13935248,2.937073183,0.506992011,1.791826334,4.430237933,9.361416747
Libo Kemkem,3.061782156,3.192049421,0.534961879,2.205313681,4.305701905,9.572797742
Bahirdar Zuria,2.803064205,1.662042104,0.193299505,1.22458239,4.432020722,8.459667316
Semen Achefer,2.806140157,3.144637869,0.609245466,2.862172115,3.6987586,9.367070872
Alfa,2.438059691,3.102404891,0.616410543,3.119649671,2.807476958,8.36518632
Dembia,2.923957852,2.845602046,0.580106085,1.872141094,4.521401911,9.317500857
Gonder Zuria,2.849379981,2.223121727,0.31267396,1.30320803,4.424890031,8.577478041
Bidu,2.706337995,4.385787527,0.754071376,4.665148172,1.780939985,9.152426152
Elidar,3.258819247,3.599778528,0.713312143,3.863183667,1.85216433,8.974167244
Aysaita,3.489983849,4.494269091,0.609397953,3.247029631,2.906919939,9.643933419
Afambo,3.356844002,4.722041395,0.670808444,4.133897431,2.000214083,9.490955516
Ayisha,3.330616485,4.464634724,0.60430421,4.209089298,2.252443065,9.792148848
Teferi Ber,4.006277809,4.296349382,0.608738182,3.858256133,3.523341013,11.38787495
Kebribeyah,4.054874614,4.681626717,0.667440136,3.915581481,2.012825025,9.98328112
Hareshen,4.497459562,4.855636602,0.723176896,4.831627734,3.328620956,12.65770825
Misrak Gashamo,4.906953918,4.650188555,0.621019436,4.965158521,4.044655306,13.91676775
Danot,4.626318014,3.891430834,0.609940326,5,3.709258406,13.33557642
Boh,4.62255255,3.726952852,0.62237344,4.951316793,4.135418728,13.70928807
Bare,4.242042272,4.497135818,0.63575059,4.732312118,3.583801709,12.5581561
Dolobay,4.271459484,4.777036053,0.659912356,4.614181732,3.034695,11.92033622
Dima,1.792782982,3.033961213,0.507643572,3.34272521,1.150169577,6.28567777
Surma,1.300286891,3.428332745,0.449611899,3.471236979,1.045636358,5.817160228
Jore,2.605646075,3.577061491,0.548001529,4.100304619,1.233068858,7.939019552
Assosa,1.510059595,3.088522297,0.551397363,2.053433853,1.833893475,5.397386923
Maokomo Special,1.43760115,3.045110623,0.522093475,2.32340941,2.078221802,5.839232362
Antsokiya,2.689047095,3.671701859,0.6021952,2.607135912,4.810361427,10.10654443
Semen Bench,2.77790669,2.618105335,0.457753925,2.40757873,4.106688356,9.292173775
Etang,2.240753576,2.620552805,0.610143922,2.314351906,1.822723152,6.377828635
Akobo,2.515677079,3.488664498,0.720858164,4.877828203,2.239283463,9.632788745
Ubadebretsehay,2.355747507,3.345418871,0.529168815,3.86930304,3.17603179,9.401082336
Bena Tsemay,2.431032168,3.90063765,0.585242763,2.663828551,1.443814483,6.538675202
Teltele,2.940275743,4.625124466,0.658253412,3.351648602,1.380013022,7.671937368
Miyo,3.20807443,3.958715104,0.621770404,3.259455353,2.745053569,9.212583352
Wantawo,2.789016613,3.609031076,0.638766841,3.633162157,2.575721705,8.997900475
Dalul,3.527899789,4.117027204,0.597097051,4.031127328,1.504674455,9.063701573
Erob,3.030138507,4.000515485,0.566941332,2.820201266,2.395979885,8.246319658
Gulomekeda,3.197638221,2.634869455,0.432138619,1.324754152,4.673998706,9.196391079
Ahferom,3.296278008,2.805854338,0.464676555,1.454465856,4.516947405,9.267691269
Mereb Leke,3.119530638,2.887607056,0.503252861,1.519889013,3.666458545,8.305878196
Laelay Adiyabo,3.526709069,3.133026717,0.49452612,1.620342748,3.419354498,8.566406315
Tahtay Adiyabo,2.894958411,2.930006626,0.476707745,1.746085312,2.581761211,7.222804934
Kafta Humera,2.779707997,3.272964026,0.507623016,1.591985458,2.362190827,6.733884283
Quara,2.031600262,3.25363897,0.520703241,2.413213461,1.16056594,5.605379663
Mirab Armacho,2.626236577,3.636615807,0.60258517,1.897506123,1.213385811,5.73712851
Metema,2.434670635,2.71846863,0.493909651,1.521636466,2.361935554,6.318242655
Sirba Abay,1.35151159,3.358596902,0.476013134,2.727196849,1.178389801,5.25709824
Addis Ababa,2.997904738,1.065641445,0.030754695,1.012940038,4.999700147,9.010544924
Afdera,3.105532477,2.238971771,0.733729872,4.767115649,4.642279319,12.51492744
Erebti,3.778397178,4.866266208,0.601776579,4.492240867,1.55778722,9.828425265
Teru,4.109006947,4.931669668,0.62951152,4.927566733,1.957149309,10.99372299
Dubti,3.552792295,4.144405526,0.589848077,2.726110613,2.32064085,8.599543759
Awra,4.185790911,4.946990088,0.592591088,4.914946699,1.081608379,10.18234599
Gewane,4.081622507,4.968927695,0.647261382,3.943350749,1.333379202,9.358352458
Bure Mudaytu,4.486941233,4.942610636,0.566847119,4.795162958,1.653172643,10.93527683
Amibara,3.305269292,4.485506606,0.580387275,2.729521964,1.820270851,7.855062107
Awash Fentale,3.525493293,4.516300403,0.598065144,2.482299951,2.106013906,8.11380715
Koneba,3.99721116,3.828233985,0.556029872,3.32424833,2.450199502,9.771658992
Berahle,3.637068875,4.274786485,0.596963123,4.062075495,1.32975128,9.02889565
Ab Ala,3.613295149,4.05593958,0.516079158,3.261252285,1.998552935,8.873100369
Megale,3.737931563,4.841453573,0.569373821,4.487928912,1.264976055,9.490836529
Yalo,3.936209013,4.974888425,0.680898659,3.808876289,1.224165812,8.969251114
Gulina,4.165861879,4.932844061,0.643510546,3.596224281,1.314577928,9.076664089
Ewa,4.285098542,4.988021481,0.701966044,3.835793051,1.093803654,9.214695247
Chifra,4.335334005,4.953459639,0.660341311,3.610465019,1.381592962,9.327391986
Mile,3.961108896,4.665277477,0.606333007,4.191304947,1.854139018,10.00655286
Telalak,4.563824594,4.988952679,0.676116422,3.826361568,1.404153214,9.794339376
Artuma,4.215166931,4.972116596,0.661090706,3.364305781,1.949880038,9.52935275
Dewe,4.285603511,4.940940414,0.718688589,3.211476789,1.777964321,9.275044621
Simurobi Gele'alo,3.525262276,4.753869697,0.659964551,4.050136216,1.403581902,8.978980394
Fursi,4.296936119,5,0.629944452,4.723051975,1.448442604,10.4684307
Kurri,3.334606878,4.114125878,0.687178336,4.657345072,1.331318596,9.323270546
Adaa'r,4.258442599,4.79513656,0.64650099,3.556209302,1.638541311,9.453193211
Debub Achefer,2.25031424,3.20655496,0.563463622,3.110044176,3.042088438,8.402446853
Albuko,2.658786401,3.110890775,0.494029037,2.36894748,4.825512312,9.853246193
Ambasel,2.295736492,3.725821411,0.637460015,2.880873886,4.702587867,9.879198244
Aneded,2.890916396,3.172460855,0.442617028,2.376410658,4.379376142,9.646703197
Angolelana Tera,2.386822342,2.972695936,0.344236099,2.044669683,4.088431954,8.519923979
Ankasha,2.371344754,3.034397834,0.470815991,3.020227439,4.297071834,9.688644027
Ankober,2.822693231,3.536017068,0.511066467,3.517680869,4.311741866,10.65211597
Argoba,3.23820766,3.923146045,0.631178285,2.251948069,4.202925475,9.693081204
Assagirt,2.673852738,3.438567738,0.46299374,3.135593501,4.256470347,10.06591659
Awabel,2.512062241,3.452647917,0.485516874,3.192026175,4.009267171,9.713355587
Banja,2.229793505,2.91437886,0.471162241,1.896385071,4.664564852,8.790743428
Baso Liben,2.883221565,3.291375572,0.541332029,3.30097834,3.633763018,9.817962923
Bati,3.687964785,4.49060745,0.704451852,2.18043827,3.887713159,9.756116214
Berehet,2.889181847,3.942166697,0.601264579,2.860828476,3.252555575,9.002565898
Beyeda,2.425531811,4.09736665,0.598920039,3.633547091,3.245214734,9.304293636
Bibugn,2.690007411,2.948782459,0.503368136,2.831904463,4.415184722,9.937096595
Bugna,2.731448228,4.013988936,0.658904265,3.135809502,3.017659467,8.884917197
Bure,2.744457587,2.843626513,0.47879488,1.81556936,4.101196445,8.661223391
Chefa Gula,2.82386845,2.440962314,0.395072326,1.611883453,4.548547737,8.98429964
Chilga,2.571111638,2.843393835,0.589341328,2.103038667,3.068343673,7.742493978
Dabat,2.700066087,3.039107743,0.498002156,1.8819758,3.870563226,8.452605113
Dangila,2.394620548,2.604422336,0.420258729,2.297528616,4.285114176,8.977263339
Dawunt,2.756790092,3.811940006,0.719331891,2.439239864,4.104615593,9.300645548
Debark,2.717858291,3.008416253,0.46452137,2.147905168,3.783418249,8.649181709
Debay Telatgen,2.478370762,3.439573473,0.460093551,2.968148495,4.074276531,9.520795788
Debre Elias,2.210019643,2.944893346,0.50328998,2.84467329,2.911446518,7.966139451
Debresina,2.770339387,3.226274534,0.567695307,2.903007162,4.544131534,10.21747808
Dega Damot,2.467237153,3.177948424,0.48276741,3.120069908,4.135215158,9.722522219
Dehana,3.04831003,3.520814485,0.625043893,2.814019014,3.286564416,9.14889346
Dejen,2.759991865,3.291637382,0.590925506,2.291710357,4.427582494,9.479284717
Delanta,2.616773355,3.350500655,0.597220085,2.359942764,4.426993107,9.403709227
Dembecha,2.531277886,3.006633558,0.491866067,2.395817362,3.49363364,8.420728888
Dessie Zuria,2.744242122,2.278498825,0.27721525,1.426727518,4.762838735,8.933808374
East Esite,2.63100082,3.406052193,0.469890283,2.963955433,3.906094383,9.501050636
East Belesa,3.559544083,4.356727595,0.725925129,2.675761644,2.502257986,8.737563713
Ebenat,3.022477031,3.918823686,0.668550973,3.069672295,3.318930241,9.411079567
Eferatana Gidem,2.651562606,3.558499549,0.516850576,2.814311849,4.661177587,10.12705204
Enarj Enawga,2.771529377,3.424082579,0.574880441,2.867980048,4.444961082,10.08447051
Enbise Sar Midir,2.868927249,3.49807288,0.604961214,2.644534251,4.111779526,9.625241026
Enemay,2.698003528,3.113983548,0.532755161,1.975102666,4.693469542,9.366575736
Fagta Lakoma,2.217727686,2.898937054,0.449431783,2.306861562,4.616904283,9.141493531
Farta,2.908222896,2.72506506,0.376594673,1.909609044,4.737343291,9.555175231
Gaz Gibla,2.600887851,3.784097345,0.774268405,2.61517792,3.484324903,8.700390673
Menz Gera Midir,2.273115994,3.540207787,0.477229915,2.841092088,3.778855616,8.893063698
Gidan,2.487298885,3.140177048,0.666704497,2.607739447,4.545332805,9.640371137
Gishe Rabel,2.020903316,4.235720853,0.657313324,3.546062554,4.043243508,9.610209378
Goncha Siso Enese,2.889985477,3.496327104,0.466854176,2.706743568,4.041296712,9.638025756
Gonje,3.867520345,3.327729871,0.643086209,2.971889677,4.964099833,11.80350986
Guagusa Shikudad,2.556233176,2.667540773,0.488214252,1.490355412,4.742587529,8.789176117
Guangua,2.013768574,3.010274506,0.543549998,2.714866473,3.097552042,7.826187089
Guba Lafto,2.66962248,2.475947377,0.426960216,1.701778767,4.720317661,9.091718907
Guzamn,2.494717102,3.025300848,0.492314454,2.769161124,3.97009978,9.233978005
Habru,2.80546082,3.869531234,0.629037035,1.790953791,4.526374394,9.122789004
Hagere Mariam,2.25142523,3.239361067,0.442832973,2.295612231,3.751984516,8.299021977
Hulet Ej Enese,2.861772234,3.471643263,0.506763361,2.678528441,4.217899149,9.758199824
Jabi Tehnan,2.792776422,2.827064665,0.443951294,1.568996212,4.11698133,8.478753964
Jama,2.461069877,3.46259982,0.595005548,1.932032323,4.38649319,8.77959539
Janamora,2.726698373,3.540676072,0.603818172,2.997768123,3.523162094,9.24762859
Jawi,1.72596475,3.06462701,0.592491088,2.414231182,1.241875744,5.382071675
Jille Timuga,3.036693891,4.262233281,0.648477008,2.324666582,3.068165435,8.429525908
Kalu,2.708920817,2.882745651,0.46686376,1.547122163,4.61344608,8.869489059
Kelela,2.642517273,3.606236593,0.572227575,2.592431682,3.788827248,9.023776203
Kewet,2.96831005,4.251335586,0.67633502,3.321134076,2.931452102,9.220896229
Menz Keya Gabriel,2.069776735,3.848540871,0.522817205,2.512766824,3.807250897,8.389794457
Kutaber,2.416077314,3.12145671,0.512126757,2.217017548,4.497905128,9.13099999
Lasta (Ayna),2.917725489,3.602674691,0.655028769,2.007616361,4.201547873,9.126889723
Lay Armacho,2.846049616,3.010137494,0.533756171,2.087576636,4.166378523,9.100004775
Lay Gayint,2.865837373,2.990840957,0.463350324,2.522183716,4.373879437,9.761900526
Legambo,2.752567901,2.644549065,0.483408591,2.098270577,4.721510336,9.572348815
Legehida,2.501106159,3.210585075,0.564711539,1.958604368,4.872410927,9.332121454
Mecha,2.580534704,3.231052593,0.526433326,2.663834134,4.042939505,9.287308342
Mehal Sayint,2.735518807,2.836659226,0.557039567,3.254033377,4.220331951,10.20988414
Mekdela,2.667976265,4.145510342,0.636863028,3.240949306,3.94699197,9.855917541
Meket,2.796160504,3.275249491,0.539461745,2.254614321,4.1930046,9.243779424
Menz Lalo Midir,1.785077573,3.981601886,0.537026018,3.775275478,2.392626501,7.952979552
Menz Mama Midir,2.930188439,2.838592811,0.398714546,2.385435879,4.718231081,10.0338554
Merahbete,3.143042096,3.148140648,0.419165326,1.988725159,4.377414625,9.509181881
Michakel,2.66585082,2.897844605,0.439179492,2.646040942,4.073858934,9.385750697
Mimo Weremo,2.93370853,3.447930715,0.584159075,2.290570162,4.287521353,9.511800045
Minjar Shenkora,2.762711307,3.330795092,0.514070838,1.771476448,3.883353844,8.417541598
Mojan Wedera,2.352417755,3.144302371,0.489160465,2.446598218,4.207360326,9.006376298
Moretna Jiru,2.59307602,3.387855244,0.582175993,2.168762687,4.529575102,9.291413809
Quarit,2.706350539,3.123856077,0.507855045,2.842594263,4.13945829,9.688403092
Sahla,3.101481377,4.95232049,0.782787912,4.653869716,1.069890826,8.825241919
Sayint,2.722967492,3.618546493,0.622400919,3.670368543,4.10110475,10.49444079
Sekela,2.22408984,3.192448174,0.49908348,2.409467399,4.423594173,9.057151412
Senan,2.50775891,3.13523928,0.390526097,3.398038157,4.033089924,9.938886991
Shebel Bereta,2.87168039,3.809831383,0.650917885,3.175551454,3.985130321,10.03236216
Simada,2.659066923,3.994479504,0.690416179,3.539681241,3.878567369,10.07731553
Siya Debirna Wayu,2.104033527,3.398260561,0.503160045,1.604084861,4.454339997,8.162458386
Tach Armacho,2.653270329,3.002923111,0.581944188,2.088725706,2.23206994,6.974065975
Tach Gayint,3.01912168,4.065880987,0.673431986,3.529179098,4.079561119,10.6278619
Takusa,2.544251781,2.948940483,0.599016708,2.361067993,3.35329609,8.258615863
Tarema Ber,2.81826024,3.21962569,0.505007564,2.35326931,4.355532632,9.527062182
Tenta,2.611807761,3.429555324,0.524555487,2.396577922,4.331991378,9.34037706
Thehulederie,2.757248641,2.866379982,0.428498932,1.309305097,4.861139421,8.927693159
West Esite,3.398797834,3.476596491,0.625532711,2.968309292,4.838081816,11.20518894
Wadla,2.671190056,3.573213312,0.50203649,2.514739943,4.52701014,9.712940139
Wegde,2.83162322,3.56504947,0.641408173,2.759920228,4.151870988,9.743414435
Wegera,2.624674087,3.36692501,0.557662089,2.830244057,3.661205328,9.116123471
Wemberma,2.679669988,3.037439355,0.551328857,2.618233747,3.664972311,8.962876046
Were Ilu,2.421345864,3.171341672,0.504459149,1.905895119,4.406543879,8.733784863
West Belesa,2.906797348,3.814194805,0.650548928,3.021238957,2.796476008,8.724512313
Worebabu,3.126700706,3.861579486,0.624566065,1.915596525,4.378697333,9.420994565
Yilmana Densa,2.746622719,3.313300313,0.583780488,3.019539712,4.078443762,9.844606194
Ziquala,3.289234533,4.748577525,0.720880763,3.652312694,1.481330074,8.422877302
Tsegede,2.337310342,3.258912185,0.55335937,2.492869866,1.953703012,6.78388322
Addi Arekay,2.66020773,3.054582795,0.590241043,2.186833962,3.043579893,7.890621586
Tselemt,2.27038822,4.143009268,0.714807615,3.252530663,2.873623505,8.396542387
Abergele,3.084171485,4.334576885,0.580919318,2.857482588,1.924317646,7.865971719
Sekota,2.830188231,3.717690575,0.65123581,2.13349703,3.095139545,8.058824806
Kobo,2.717596646,4.087425814,0.659778241,2.07537439,4.343819817,9.136790853
Artuma Fursi,2.877159528,3.936724827,0.652843958,1.768761325,3.952632392,8.598553245
Dewa Harewa,3.119946212,4.283790985,0.714094406,1.957931808,3.483160426,8.561038445
Basona Worena,2.617177273,2.561344147,0.320579344,1.590638852,4.516004675,8.7238208
Ensaro,3.056722863,3.443046786,0.633100995,2.302507746,4.58039665,9.939627259
Guba,2.371671409,3.064299134,0.435326665,1.388641937,2.539141088,6.299454433
Pawe Special,1.682835002,2.650640254,0.518485254,1.083720452,2.888646836,5.65520229
Dangura,1.437060484,2.865568558,0.523121274,2.170751408,1.704439114,5.312251006
Mandura,1.555672668,3.110134003,0.536966634,2.194510366,1.562577098,5.312760132
Dibat,1.493758611,3.20594843,0.588181077,2.068250626,1.9490266,5.511035837
Bulen,1.401959591,2.973386744,0.534715376,1.929683354,1.799518546,5.131161492
Yaso,1.124013193,3.030966776,0.535341043,2.012180218,1.111778191,4.247971602
Wenbera,1.044397711,2.738748605,0.366978756,2.628663636,1.991407512,5.664468859
Bio Jiganifado,1.542306487,3.116175074,0.614822579,3.009782226,1.55138607,6.103474784
Kamashi,1.12580357,3.009374078,0.527813695,2.688655353,1.338763523,5.153222446
Agalometi,1.097943278,3.016861255,0.483133292,3.354582142,1.447692557,5.900217976
Bio Jiganifado,1.033838339,3.000792742,0.579774341,2.020625973,1,4.054464312
Bilidigilu,1.329876886,3.316361896,0.561665063,2.013050013,1.651474981,4.99440188
Sherkole,2.488549951,3.232726988,0.514663611,1.809260154,1.132107584,5.429917688
Menge,1.715558821,3.310808237,0.53223717,1.30628913,2.413913662,5.435761613
Homosha,1.434950865,2.815332762,0.498032645,1.579814311,1.471430509,4.486195685
Kurmuk,1.896553432,3.003302666,0.504820578,1.28997641,1.528454824,4.714984666
Bambasi,1.52905402,2.993214735,0.500422286,1.602543809,2.469046626,5.600644455
Dire Dawa/Town,3.222080304,1.895485003,0.226772771,1.354673554,4.812385828,9.389139686
Dire Dawa,3.470120356,2.209351649,0.269987077,1.491662642,4.618394132,9.580177129
Jikawo,3.12332121,3.626769664,0.719291959,3.712587028,2.313862041,9.14977028
Lare,2.999240474,3.05636448,0.721749225,2.843702218,2.601004776,8.443947468
NA,2.764653204,3.151417185,0.656724899,3.460968074,1,7.225621278
Gambela Zuria,2.857289656,1.548212073,0.148453321,1.126294184,4.677394003,8.660977843
Abobo,1.961764936,2.362883873,0.462612854,1.566153846,1.875862866,5.403781648
Goge,2.827579775,2.73399104,0.577714879,2.017068666,2.489866203,7.334514644
Mengesh,1.2270039,2.768503421,0.404535531,3.339059741,1.351140854,5.917204495
Godere,2.433985576,2.286021787,0.355843229,2.012348683,4.079581689,8.525915948
Harar,3.376407394,2.149330513,0.330646245,1.172421642,4.932069251,9.480898287
Dera,3.011382931,3.448830684,0.58650234,2.662522978,4.135866965,9.809772874
Ibantu,1,3.590873348,0.449871961,4.049369645,1.167546371,6.216916016
Gida Kiremu,1.970051231,2.747883485,0.504655676,1.69937737,3.196190853,6.865619454
Wara Jarso,2.577965532,3.559130041,0.542435002,2.748737906,3.608882374,8.935585811
Hidabu Abote,3.367062743,3.069631519,0.470425675,2.189746765,4.749656107,10.30646561
Limu,1.547797644,2.888712687,0.495669644,2.255638068,2.857774814,6.661210527
Guduru,2.270248736,3.093348679,0.397430152,3.339075634,3.014377235,8.623701605
Degem,2.841649033,2.738227012,0.396223557,2.467299784,4.602645073,9.91159389
Abay Chomen,2.336925154,2.866605369,0.38122004,2.304976521,3.169724397,7.811626072
Gerar Jarso,2.814681382,2.800400352,0.366835362,1.526083048,4.783356539,9.124120968
Ginde Beret,2.789121587,3.225313524,0.404644822,3.449224394,3.447774224,9.686120205
Kuyu,2.773912455,3.097758683,0.393445819,2.245345731,4.241798075,9.261056261
Horo,2.318587877,2.773885307,0.346788947,1.711419319,4.309227699,8.339234896
Abe Dongoro,1.731912632,3.04626258,0.474073418,2.426474937,2.493681463,6.652069032
Wuchale,2.665315047,2.895294721,0.3687997,1.57187504,4.571225889,8.808415976
Yaya Gulele,2.71436826,3.123232579,0.459537302,2.183262529,4.411613369,9.309244158
Jarso,3.608211971,3.166373308,0.484842579,2.322345062,4.586980027,10.51753706
Meta Robi,2.804305394,3.338367415,0.380754732,2.82991087,4.457478012,10.09169428
Begi,1.964538853,2.838329184,0.473439841,1.596467442,3.89498272,7.455989015
